Image,Original Name,Word Count Range,Sentence Number,Image Sequence,Font Size,Font Style,Blur Level,Background Color,Gold Label,Response
92,40-60_1_02_base_18_Jameel Noori Nastaleeq.jpg,40-60,1,2,18,Jameel Noori Nastaleeq,0,0,اسٹیٹ بینک آف پاکستان نے زرمبادلہ کے ذخائر کی ہفتہ وار رپورٹ جاری کردی۔ اسٹیٹ بینک آف پاکستان کے ترجمان کی جانب سے جاری اعلامیے کے مطابق 25 اکتوبر 2024ء کو ختم ہونے والے ہفتے کے دوران 16 ارب 4 کروڑ 90 لاکھ ڈالر کی سطح پر آگئے۔,اسٹیٹ بینک آف پاکستان نے زرمبادلہ کے ذخائر کی ہفتہ وار رپورٹ جاری کردی۔ اسٹیٹ بینک آف پاکستان کے ترجمان کی جانب سے جاری اعلامیے کے مطابق 25 اکتوبر 2024 کو ختم ہونے والے ہفتے کے دوران 16 ارب 4 کروڑ 90 لاکھ ڈالر کی سطح پر آگئے۔
93,40-60_1_02_base_18_Jameel Noori Nastaleeq_bg-light_yellow.jpg,40-60,1,2,18,Jameel Noori Nastaleeq,0,light_yellow,اسٹیٹ بینک آف پاکستان نے زرمبادلہ کے ذخائر کی ہفتہ وار رپورٹ جاری کردی۔ اسٹیٹ بینک آف پاکستان کے ترجمان کی جانب سے جاری اعلامیے کے مطابق 25 اکتوبر 2024ء کو ختم ہونے والے ہفتے کے دوران 16 ارب 4 کروڑ 90 لاکھ ڈالر کی سطح پر آگئے۔,اسٹیٹ بینک آف پاکستان نے زرمبادلہ کے ذخائر کی ہفتہ وار رپورٹ جاری کردی۔ اسٹیٹ بینک آف پاکستان کے ترجمان کی جانب سے جاری اعلامیے کے مطابق 25 اکتوبر 2024ء کو ختم ہونے والے ہفتے کے دوران 16 ارب 4 کروڑ 90 لاکھ ڈالر کی سطح پر آگئے۔
94,40-60_1_02_base_18_Jameel Noori Nastaleeq_bg-slate_gray.jpg,40-60,1,2,18,Jameel Noori Nastaleeq,0,slate_gray,اسٹیٹ بینک آف پاکستان نے زرمبادلہ کے ذخائر کی ہفتہ وار رپورٹ جاری کردی۔ اسٹیٹ بینک آف پاکستان کے ترجمان کی جانب سے جاری اعلامیے کے مطابق 25 اکتوبر 2024ء کو ختم ہونے والے ہفتے کے دوران 16 ارب 4 کروڑ 90 لاکھ ڈالر کی سطح پر آگئے۔,اسٹیٹ بینک آف پاکستان نے زرمبادلہ کے ذخائر کی ہفتہ وار رپورٹ جاری کردی۔ اسٹیٹ بینک آف پاکستان کے ترجمان کی جانب سے جاری اعلامیے کے مطابق 25 اکتوبر 2024 کو ختم ہونے والے ہفتے کے دوران 16 ارب 4 کروڑ 90 لاکھ ڈالر کی سطح پر آگئے۔
95,40-60_1_02_base_18_Jameel Noori Nastaleeq_blur-1.25.jpg,40-60,1,2,18,Jameel Noori Nastaleeq,1.25,0,اسٹیٹ بینک آف پاکستان نے زرمبادلہ کے ذخائر کی ہفتہ وار رپورٹ جاری کردی۔ اسٹیٹ بینک آف پاکستان کے ترجمان کی جانب سے جاری اعلامیے کے مطابق 25 اکتوبر 2024ء کو ختم ہونے والے ہفتے کے دوران 16 ارب 4 کروڑ 90 لاکھ ڈالر کی سطح پر آگئے۔,اسٹیٹ بینک آف پاکستان نے زرمبادلہ کے ذخائر کی ہفتہ وار رپورٹ جاری کردی۔ اسٹیٹ بینک آف پاکستان کے ترجمان کی جانب سے جاری اعلامیے کے مطابق 25 اکتوبر 2024ء کو ختم ہونے والے ہفتے کے دوران 16 ارب 4 کروڑ 90 لاکھ ڈالر کی سطح پر آگئے۔
96,40-60_1_02_base_18_Jameel Noori Nastaleeq_blur-1.75.jpg,40-60,1,2,18,Jameel Noori Nastaleeq,1.75,0,اسٹیٹ بینک آف پاکستان نے زرمبادلہ کے ذخائر کی ہفتہ وار رپورٹ جاری کردی۔ اسٹیٹ بینک آف پاکستان کے ترجمان کی جانب سے جاری اعلامیے کے مطابق 25 اکتوبر 2024ء کو ختم ہونے والے ہفتے کے دوران 16 ارب 4 کروڑ 90 لاکھ ڈالر کی سطح پر آگئے۔,اسٹیٹ بینک آف پاکستان نے زرمبادلہ کے ذخائر کی ہفتہ وار رپورٹ جاری کردی۔ اسٹیٹ بینک آف پاکستان کے ترجمان کی جانب سے جاری اعلامیے کے مطابق 25 اکتوبر 2024ء کو ختم ہونے والے ہفتے کے دوران 16 ارب 4 کروڑ 90 لاکھ ڈالر کی رقم پر آگئے۔
97,40-60_1_03_base_24_Jameel Noori Nastaleeq.jpg,40-60,1,3,24,Jameel Noori Nastaleeq,0,0,اسٹیٹ بینک آف پاکستان نے زرمبادلہ کے ذخائر کی ہفتہ وار رپورٹ جاری کردی۔ اسٹیٹ بینک آف پاکستان کے ترجمان کی جانب سے جاری اعلامیے کے مطابق 25 اکتوبر 2024ء کو ختم ہونے والے ہفتے کے دوران 16 ارب 4 کروڑ 90 لاکھ ڈالر کی سطح پر آگئے۔,اسٹیٹ بینک آف پاکستان نے زر مبادلہ کے ذخائر کی ہفتہ وار رپورٹ جاری کر دی۔ اسٹیٹ بینک آف پاکستان کے ترجمان کی جانب سے جاری اعلامیے کے مطابق 25 اکتوبر 2024ء کو ختم ہونے والے ہفتے کے دوران 16 ارب 4 کروڑ 90 لاکھ ڈالر کی سطح پر آ گئے۔
98,40-60_1_04_base_18_Alvi Nastaleeq.jpg,40-60,1,4,18,Alvi Nastaleeq,0,0,اسٹیٹ بینک آف پاکستان نے زرمبادلہ کے ذخائر کی ہفتہ وار رپورٹ جاری کردی۔ اسٹیٹ بینک آف پاکستان کے ترجمان کی جانب سے جاری اعلامیے کے مطابق 25 اکتوبر 2024ء کو ختم ہونے والے ہفتے کے دوران 16 ارب 4 کروڑ 90 لاکھ ڈالر کی سطح پر آگئے۔,اسٹیٹ بینک آف پاکستان نے زرمبادلہ کے ذخائر کی ہفتہ وار رپورٹ جاری کر دی۔ اسٹیٹ بینک آف پاکستان کے ترجمان کی جانب سے جاری اعلامیے کے مطابق 25 اکتوبر 2024ء کو ختم ہونے والے ہفتے کے دوران 16 ارب 4 کروڑ 90 لاکھ ڈالر کی سطح پر آگئے۔
99,40-60_1_05_base_18_Nafees Nastaleeq.jpg,40-60,1,5,18,Nafees Nastaleeq,0,0,اسٹیٹ بینک آف پاکستان نے زرمبادلہ کے ذخائر کی ہفتہ وار رپورٹ جاری کردی۔ اسٹیٹ بینک آف پاکستان کے ترجمان کی جانب سے جاری اعلامیے کے مطابق 25 اکتوبر 2024ء کو ختم ہونے والے ہفتے کے دوران 16 ارب 4 کروڑ 90 لاکھ ڈالر کی سطح پر آگئے۔,اسٹیٹ بینک آف پاکستان نے زرمبادلہ کے ذخائر کی ہفتہ وار رپورٹ جاری کردی۔ اسٹیٹ بینک آف پاکستان کے ترجمان کی جانب سے جاری اعلامیے کے مطابق 25 اکتوبر 2024ء کو ختم ہونے والے ہفتے کے دوران 16 ارب 4 کروڑ 90 لاکھ ڈالر کی سطح پر آگئے۔
100,40-60_20_01_base_12_Jameel Noori Nastaleeq.jpg,40-60,20,1,12,Jameel Noori Nastaleeq,0,0,کراچی کے شہریوں لیے بجلی 40 پیسے فی یونٹ مہنگی کر دی گئی۔ اس حوالے سے نوٹیفکیشن جاری کر دیا گیا ہے۔ نوٹیفکیشن کے مطابق بجلی کے یہ ریٹ اگست کی فیول پرائس ایڈجسٹمنٹ کے تحت مہنگے کیے گئے ہیں,کراچی کے شہریوں کے لیے بجلی 40 پیسے فی یونٹ مہنگی کر دی گئی۔ اس حوالے سے نوٹیفکیشن جاری کر دیا گیا ہے۔ نوٹیفکیشن کے مطابق بجلی کے یہ ریٹ اگست کی فیول پرائس ایڈجسٹمنٹ کے تحت بڑھائے گئے ہیں۔
101,40-60_20_02_base_18_Jameel Noori Nastaleeq.jpg,40-60,20,2,18,Jameel Noori Nastaleeq,0,0,کراچی کے شہریوں لیے بجلی 40 پیسے فی یونٹ مہنگی کر دی گئی۔ اس حوالے سے نوٹیفکیشن جاری کر دیا گیا ہے۔ نوٹیفکیشن کے مطابق بجلی کے یہ ریٹ اگست کی فیول پرائس ایڈجسٹمنٹ کے تحت مہنگے کیے گئے ہیں,کراچی کے شہریوں کیلئے بجلی 40 پیسے فی یونٹ مہنگی کردی گئی۔ اس حوالے سے نوٹیفکیشن جاری کردیا گیا ہے۔ نوٹیفکیشن کے مطابق بجلی کے یہ ریٹ اگست کی فیول پرائس ایڈجسٹمنٹ کے تحت مہنگے کیے گئے ہیں۔
102,40-60_20_02_base_18_Jameel Noori Nastaleeq_bg-light_yellow.jpg,40-60,20,2,18,Jameel Noori Nastaleeq,0,light_yellow,کراچی کے شہریوں لیے بجلی 40 پیسے فی یونٹ مہنگی کر دی گئی۔ اس حوالے سے نوٹیفکیشن جاری کر دیا گیا ہے۔ نوٹیفکیشن کے مطابق بجلی کے یہ ریٹ اگست کی فیول پرائس ایڈجسٹمنٹ کے تحت مہنگے کیے گئے ہیں,کراچی کے شہریوں کیلئے بجلی 40 پیسے فی یونٹ مہنگی کردی گئی۔ اس حوالے سے نوٹیفکیشن جاری کردیا گیا ہے۔ نوٹیفکیشن کے مطابق بجلی کے یہ ریٹ اگست کی فیول پرائس ایڈجسٹمنٹ کے تحت مہنگے کیے گئے ہیں۔
103,40-60_20_02_base_18_Jameel Noori Nastaleeq_bg-slate_gray.jpg,40-60,20,2,18,Jameel Noori Nastaleeq,0,slate_gray,کراچی کے شہریوں لیے بجلی 40 پیسے فی یونٹ مہنگی کر دی گئی۔ اس حوالے سے نوٹیفکیشن جاری کر دیا گیا ہے۔ نوٹیفکیشن کے مطابق بجلی کے یہ ریٹ اگست کی فیول پرائس ایڈجسٹمنٹ کے تحت مہنگے کیے گئے ہیں,کراچی کے شہریوں کیلئے بجلی 40 پیسے فی یونٹ مہنگی کردی گئی ہے، نوٹیفکیشن کے مطابق بجلی کے یہ ریٹ لائف لائن صارفین پر اس ماہِ جنوری کے تحت لاگو کئے گئے ہیں۔
104,40-60_20_02_base_18_Jameel Noori Nastaleeq_blur-1.25.jpg,40-60,20,2,18,Jameel Noori Nastaleeq,1.25,0,کراچی کے شہریوں لیے بجلی 40 پیسے فی یونٹ مہنگی کر دی گئی۔ اس حوالے سے نوٹیفکیشن جاری کر دیا گیا ہے۔ نوٹیفکیشن کے مطابق بجلی کے یہ ریٹ اگست کی فیول پرائس ایڈجسٹمنٹ کے تحت مہنگے کیے گئے ہیں,کراچی کے شہریوں کیلئے بجلی 40 پیسے فی یونٹ مہنگی کردی گئی۔ اس حوالے سے نوٹیفکیشن جاری کردیا گیا ہے۔ نوٹیفکیشن کے مطابق بجلی کے یہ ریٹ اگست کی فیول پرائس ایڈجسٹمنٹ کے تحت نافذ کیے گئے ہیں۔
105,40-60_20_02_base_18_Jameel Noori Nastaleeq_blur-1.75.jpg,40-60,20,2,18,Jameel Noori Nastaleeq,1.75,0,کراچی کے شہریوں لیے بجلی 40 پیسے فی یونٹ مہنگی کر دی گئی۔ اس حوالے سے نوٹیفکیشن جاری کر دیا گیا ہے۔ نوٹیفکیشن کے مطابق بجلی کے یہ ریٹ اگست کی فیول پرائس ایڈجسٹمنٹ کے تحت مہنگے کیے گئے ہیں,کراچی کے شہریوں کیلئے بجلی 40 پیسے فی یونٹ مہنگی کردی گئی ہے۔ نوٹیفکیشن کے مطابق بجلی کے یہ ریٹ اگست کی فیول پرائس ایڈجسٹمنٹ کے تحت کئے گئے ہیں۔
106,40-60_20_03_base_24_Jameel Noori Nastaleeq.jpg,40-60,20,3,24,Jameel Noori Nastaleeq,0,0,کراچی کے شہریوں لیے بجلی 40 پیسے فی یونٹ مہنگی کر دی گئی۔ اس حوالے سے نوٹیفکیشن جاری کر دیا گیا ہے۔ نوٹیفکیشن کے مطابق بجلی کے یہ ریٹ اگست کی فیول پرائس ایڈجسٹمنٹ کے تحت مہنگے کیے گئے ہیں,کراچی کے شہریوں لیے بجلی 40 پیسے فی یونٹ مہنگی کردی گئی۔ اس حوالے سے نوٹیفکیشن جاری کردیا گیا ہے۔ نوٹیفکیشن کے مطابق بجلی کے یہ ریٹ اگست کی فیول پرائس ایڈجسٹمنٹ کے تحت مہنگے کیے گئے ہیں۔
107,40-60_20_04_base_18_Alvi Nastaleeq.jpg,40-60,20,4,18,Alvi Nastaleeq,0,0,کراچی کے شہریوں لیے بجلی 40 پیسے فی یونٹ مہنگی کر دی گئی۔ اس حوالے سے نوٹیفکیشن جاری کر دیا گیا ہے۔ نوٹیفکیشن کے مطابق بجلی کے یہ ریٹ اگست کی فیول پرائس ایڈجسٹمنٹ کے تحت مہنگے کیے گئے ہیں,کراچی کے شہریوں لیے بجلی 40 پیسے فی یونٹ مہنگی کر دی گئی۔ اس حوالے سے نوٹیفکیشن جاری کر دیا گیا ہے۔ نوٹیفکیشن کے مطابق بجلی کے یہ ریٹ اگست کی فیول ایڈجسٹمنٹ کے تحت مہنگے کیے گئے ہیں۔
108,40-60_20_05_base_18_Nafees Nastaleeq.jpg,40-60,20,5,18,Nafees Nastaleeq,0,0,کراچی کے شہریوں لیے بجلی 40 پیسے فی یونٹ مہنگی کر دی گئی۔ اس حوالے سے نوٹیفکیشن جاری کر دیا گیا ہے۔ نوٹیفکیشن کے مطابق بجلی کے یہ ریٹ اگست کی فیول پرائس ایڈجسٹمنٹ کے تحت مہنگے کیے گئے ہیں,کراچی کے شہریوں کے لئے بجلی 40 پیسے فی یونٹ منہل کر دی گئی۔ اس حوالے سے نوٹیفکیشن جاری کر دیا گیا ہے۔ تاہم یہ ریٹ الیکٹرسٹی کی فیل پر اس ایڈجسٹمنٹ کے تحت منہل کئے گئے ہیں۔
109,40-60_2_01_base_12_Jameel Noori Nastaleeq.jpg,40-60,2,1,12,Jameel Noori Nastaleeq,0,0,پاکستانی باکسر شعیب خان زہری نے انٹرنیشنل باکسنگ فائٹ جیت لی۔ مسقط میں  انٹرنیشنل باکسنگ فائٹ کا مقابلہ سجا جس میں شعیب خان نے افغان باکسرکو ہرا کر انٹرنیشنل باکسنگ ٹائٹل جیت لیا۔ اس کے علاوہ  شعیب خان زہری کی فائٹ  رواں سال کے آخری مہینے دسمبر میں بھارتی باکسر کے ساتھ ہوگی۔,ملی۔ مرشد فائنل میں انٹر نیشنل بائیکنگ فائنل کا مقابلہ سجایا جس میں شعیب خان نے افغانی حریف کو ہرا کر انٹر نیشنل بائیکنگ ٹائٹل جیت لیا۔ اس کے علاوہ شعیب خان زہری کی فائنل دوان سال کے آخری مہینے دسمبر میں بھارتی حریف کے ساتھ ہوئی۔
110,40-60_2_02_base_18_Jameel Noori Nastaleeq.jpg,40-60,2,2,18,Jameel Noori Nastaleeq,0,0,پاکستانی باکسر شعیب خان زہری نے انٹرنیشنل باکسنگ فائٹ جیت لی۔ مسقط میں  انٹرنیشنل باکسنگ فائٹ کا مقابلہ سجا جس میں شعیب خان نے افغان باکسرکو ہرا کر انٹرنیشنل باکسنگ ٹائٹل جیت لیا۔ اس کے علاوہ  شعیب خان زہری کی فائٹ  رواں سال کے آخری مہینے دسمبر میں بھارتی باکسر کے ساتھ ہوگی۔,پاکستانی باکسر شعیب خان زہری نے انٹرنیشنل باکسنگ فائٹ کا مقابلہ سجا جس میں شعیب خان نے افغان باکسر کو ہرا کر انٹرنیشنل باکسنگ ٹائٹل جیت لیا۔ اس کے علاوہ شعیب خان زہری کی فائٹ رواں سال کے آخر میں مزید بھاری باکسر کے ساتھ ہوگی۔
111,40-60_2_02_base_18_Jameel Noori Nastaleeq_bg-light_yellow.jpg,40-60,2,2,18,Jameel Noori Nastaleeq,0,light_yellow,پاکستانی باکسر شعیب خان زہری نے انٹرنیشنل باکسنگ فائٹ جیت لی۔ مسقط میں  انٹرنیشنل باکسنگ فائٹ کا مقابلہ سجا جس میں شعیب خان نے افغان باکسرکو ہرا کر انٹرنیشنل باکسنگ ٹائٹل جیت لیا۔ اس کے علاوہ  شعیب خان زہری کی فائٹ  رواں سال کے آخری مہینے دسمبر میں بھارتی باکسر کے ساتھ ہوگی۔,پاکستانی باکسر شعیب خان زہری نے انٹرنیشنل باکسنگ فائٹ جیت لی۔ متفقہ فیصلہ میں انٹرنیشنل باکسنگ فائٹ کا مقابلہ سجا جس میں شعیب خان نے افغان باکسر کو ہرا کر انٹرنیشنل باکسنگ ٹائٹل جیت لیا۔ اس کے علاوہ شعیب خان زہری کی فائٹ رواں سال کے آخر ی مہینے و ممبئی میں بھارتی باکسر کے ساتھ ہوگی۔
112,40-60_2_02_base_18_Jameel Noori Nastaleeq_bg-slate_gray.jpg,40-60,2,2,18,Jameel Noori Nastaleeq,0,slate_gray,پاکستانی باکسر شعیب خان زہری نے انٹرنیشنل باکسنگ فائٹ جیت لی۔ مسقط میں  انٹرنیشنل باکسنگ فائٹ کا مقابلہ سجا جس میں شعیب خان نے افغان باکسرکو ہرا کر انٹرنیشنل باکسنگ ٹائٹل جیت لیا۔ اس کے علاوہ  شعیب خان زہری کی فائٹ  رواں سال کے آخری مہینے دسمبر میں بھارتی باکسر کے ساتھ ہوگی۔,پاکستانی باکسر شعیب خان زہری نے انٹر نیشنل باکسنگ فائٹ جیت لی۔ منقطہ میں انٹر نیشنل باکسنگ فائٹ کا مقابلہ سجا جس میں شعیب خان نے افغان باکسر کو ہرا کر فائٹ میں کامیابی حاصل کر لی۔ اس کے علاوہ شعیب خان زہری کی فائٹ رواں سال کے آخر میں بھارت کی نامور کے ساتھ ہوگی۔
113,40-60_2_02_base_18_Jameel Noori Nastaleeq_blur-1.25.jpg,40-60,2,2,18,Jameel Noori Nastaleeq,1.25,0,پاکستانی باکسر شعیب خان زہری نے انٹرنیشنل باکسنگ فائٹ جیت لی۔ مسقط میں  انٹرنیشنل باکسنگ فائٹ کا مقابلہ سجا جس میں شعیب خان نے افغان باکسرکو ہرا کر انٹرنیشنل باکسنگ ٹائٹل جیت لیا۔ اس کے علاوہ  شعیب خان زہری کی فائٹ  رواں سال کے آخری مہینے دسمبر میں بھارتی باکسر کے ساتھ ہوگی۔,پاکستانی باکسر شعیب خان زہری نے انٹرنیشنل باکسنگ نائٹ کا مقابلہ ساجس میں شعیب خان نے افغان حریف کو ہرا کر انٹرنیشنل باکسنگ نائٹ جیت لیا۔ اس کے علاوہ شعیب خان زہری کی فائٹ رواں سال کے آخر ی مہینے دسمبر میں بھارتی حریف کے ساتھ ہوگی۔
114,40-60_2_02_base_18_Jameel Noori Nastaleeq_blur-1.75.jpg,40-60,2,2,18,Jameel Noori Nastaleeq,1.75,0,پاکستانی باکسر شعیب خان زہری نے انٹرنیشنل باکسنگ فائٹ جیت لی۔ مسقط میں  انٹرنیشنل باکسنگ فائٹ کا مقابلہ سجا جس میں شعیب خان نے افغان باکسرکو ہرا کر انٹرنیشنل باکسنگ ٹائٹل جیت لیا۔ اس کے علاوہ  شعیب خان زہری کی فائٹ  رواں سال کے آخری مہینے دسمبر میں بھارتی باکسر کے ساتھ ہوگی۔,پاکستانی باکسر شعیب خان زہری نے انٹرنیشنل باکسنگ فائٹ کا مقابلہ ساجس میں شعیب خان نے افغان باکسر کو ہرا کر انٹرنیشنل باکسنگ فائٹ جیت لیا۔ اس کے علاوہ شعیب خان زہری کی فائٹ رواں سال کے آخر میں بھارتی باکسر کے ساتھ ہوگی۔
115,40-60_2_03_base_24_Jameel Noori Nastaleeq.jpg,40-60,2,3,24,Jameel Noori Nastaleeq,0,0,پاکستانی باکسر شعیب خان زہری نے انٹرنیشنل باکسنگ فائٹ جیت لی۔ مسقط میں  انٹرنیشنل باکسنگ فائٹ کا مقابلہ سجا جس میں شعیب خان نے افغان باکسرکو ہرا کر انٹرنیشنل باکسنگ ٹائٹل جیت لیا۔ اس کے علاوہ  شعیب خان زہری کی فائٹ  رواں سال کے آخری مہینے دسمبر میں بھارتی باکسر کے ساتھ ہوگی۔,پاکستانی باکسر شعیب خان زہری نے انٹرنیشنل باکسنگ فائٹ جیت لی۔ مسقط میں انٹرنیشنل باکسنگ فائٹ کا مقابلہ سجاد جس میں شعیب خان نے افغان باکسر کو ہرا کر انٹرنیشنل باکسنگ ٹائٹل جیت لیا۔ اس کے علاوہ شعیب خان زہری کی فائٹ رواں سال کے آخری مہینے دسمبر میں بھارتی باکسر کے ساتھ ہوگی۔
116,40-60_2_04_base_18_Alvi Nastaleeq.jpg,40-60,2,4,18,Alvi Nastaleeq,0,0,پاکستانی باکسر شعیب خان زہری نے انٹرنیشنل باکسنگ فائٹ جیت لی۔ مسقط میں  انٹرنیشنل باکسنگ فائٹ کا مقابلہ سجا جس میں شعیب خان نے افغان باکسرکو ہرا کر انٹرنیشنل باکسنگ ٹائٹل جیت لیا۔ اس کے علاوہ  شعیب خان زہری کی فائٹ  رواں سال کے آخری مہینے دسمبر میں بھارتی باکسر کے ساتھ ہوگی۔,پاکستانی باکسر شعیب خان زہری نے انٹرنیشنل باکسنگ فائٹ کا مقابلہ سجا جس میں شعیب خان نے افغان باکسر کو ہرا کر انٹرنیشنل باکسنگ ٹائٹل جیت لیا۔ اس کے علاوہ شعیب خان زہری کی فائٹ رواں سال کے آخری مہینے دسمبر میں بھارتی باکسر کے ساتھ ہوگی۔
117,40-60_2_05_base_18_Nafees Nastaleeq.jpg,40-60,2,5,18,Nafees Nastaleeq,0,0,پاکستانی باکسر شعیب خان زہری نے انٹرنیشنل باکسنگ فائٹ جیت لی۔ مسقط میں  انٹرنیشنل باکسنگ فائٹ کا مقابلہ سجا جس میں شعیب خان نے افغان باکسرکو ہرا کر انٹرنیشنل باکسنگ ٹائٹل جیت لیا۔ اس کے علاوہ  شعیب خان زہری کی فائٹ  رواں سال کے آخری مہینے دسمبر میں بھارتی باکسر کے ساتھ ہوگی۔,پاکستانی باکسر شعیب خان زہری نے انٹرنیشنل بلکنگ فائٹ میں مسقط میں انٹرنیشنل بلکنگ فائٹ کا مقابلہ جیت لیا۔ اس کے علاوہ شعیب خان نے افغان باکسر کو ناک آؤٹ کرکے زہری ملی فائٹ رواں سال کے آخر میں دسمبر میں بھارتی باکسر کے ساتھ ہوگی۔
118,40-60_3_01_base_12_Jameel Noori Nastaleeq.jpg,40-60,3,1,12,Jameel Noori Nastaleeq,0,0,انٹربینک تبادلہ میں ڈالر 5 پیسے مہنگا ہوا ہے۔ اسٹیٹ بینک آف پاکستان کے مطابق انٹربینک تبادلہ میں کاروبار کے اختتام پر ڈالر کا بھاؤ 277  روپے 89 پیسے ہے۔ انٹربینک میں گزشتہ روز ڈالر 277 روپے 84 پیسے پر بند ہوا تھا۔ آج انٹربینک میں ڈالرکا بھاؤ 5 پیسے بڑھا ہے۔,انٹر بینک کاروبار میں ڈالر کے مطابق انٹر بینک میں گزشتہ روز ڈالر ۲۷۷ روپے ۸۴ پیسے پر بند ہوا تھا۔ آج انٹر بینک میں ڈالر کا کاروبار ۲۷۷ روپے ۸۹ پیسے ہے۔ اسٹیٹ بینک آف پاکستان کے مطابق انٹر بینک میں ڈالر کا کاروبار ۲۷۷ روپے ۸۹ پیسے ہے۔
119,40-60_3_02_base_18_Jameel Noori Nastaleeq.jpg,40-60,3,2,18,Jameel Noori Nastaleeq,0,0,انٹربینک تبادلہ میں ڈالر 5 پیسے مہنگا ہوا ہے۔ اسٹیٹ بینک آف پاکستان کے مطابق انٹربینک تبادلہ میں کاروبار کے اختتام پر ڈالر کا بھاؤ 277  روپے 89 پیسے ہے۔ انٹربینک میں گزشتہ روز ڈالر 277 روپے 84 پیسے پر بند ہوا تھا۔ آج انٹربینک میں ڈالرکا بھاؤ 5 پیسے بڑھا ہے۔,اسٹیٹ بینک آف پاکستان کے مطابق انٹربینک تبادلہ میں کاروبار کے اختتام پر ڈالر کا بھاؤ ۲۷۷ روپے ۸۹ پیسے ہے۔ انٹربینک میں گزشتہ روز ڈالر ۲۷۷ روپے ۸۴ پیسے پر بند ہوا تھا۔ آج انٹربینک تبادلہ میں ڈالر ۵ پیسے مہنگا ہوا ہے۔
120,40-60_3_02_base_18_Jameel Noori Nastaleeq_bg-light_yellow.jpg,40-60,3,2,18,Jameel Noori Nastaleeq,0,light_yellow,انٹربینک تبادلہ میں ڈالر 5 پیسے مہنگا ہوا ہے۔ اسٹیٹ بینک آف پاکستان کے مطابق انٹربینک تبادلہ میں کاروبار کے اختتام پر ڈالر کا بھاؤ 277  روپے 89 پیسے ہے۔ انٹربینک میں گزشتہ روز ڈالر 277 روپے 84 پیسے پر بند ہوا تھا۔ آج انٹربینک میں ڈالرکا بھاؤ 5 پیسے بڑھا ہے۔,اسٹیٹ بینک آف پاکستان کے مطابق انٹربینک تبادلہ میں کاروبار کے اختتام پر ڈالر کا بھاؤ 277 روپے 89 پیسے ہے۔ انٹربینک میں گزشتہ روز ڈالر 277 روپے 84 پیسے پر بند ہوا تھا۔ آج انٹربینک تبادلہ میں ڈالر 5 پیسے مہنگا ہوا ہے۔
121,40-60_3_02_base_18_Jameel Noori Nastaleeq_bg-slate_gray.jpg,40-60,3,2,18,Jameel Noori Nastaleeq,0,slate_gray,انٹربینک تبادلہ میں ڈالر 5 پیسے مہنگا ہوا ہے۔ اسٹیٹ بینک آف پاکستان کے مطابق انٹربینک تبادلہ میں کاروبار کے اختتام پر ڈالر کا بھاؤ 277  روپے 89 پیسے ہے۔ انٹربینک میں گزشتہ روز ڈالر 277 روپے 84 پیسے پر بند ہوا تھا۔ آج انٹربینک میں ڈالرکا بھاؤ 5 پیسے بڑھا ہے۔,اسٹیٹ بینک آف پاکستان کے مطابق انٹر بینک تبادلہ میں کاروبار کے اختتام پر ڈالر کا بھاؤ 277 روپے 89 پیسے ہے۔ انٹر بینک میں گزشتہ روز ڈالر کا بھاؤ 277 روپے 84 پیسے پر بند ہوا تھا۔ انٹرا بینک تبادلہ میں ڈالر 5 پیسے مہنگا ہوا ہے۔
122,40-60_3_02_base_18_Jameel Noori Nastaleeq_blur-1.25.jpg,40-60,3,2,18,Jameel Noori Nastaleeq,1.25,0,انٹربینک تبادلہ میں ڈالر 5 پیسے مہنگا ہوا ہے۔ اسٹیٹ بینک آف پاکستان کے مطابق انٹربینک تبادلہ میں کاروبار کے اختتام پر ڈالر کا بھاؤ 277  روپے 89 پیسے ہے۔ انٹربینک میں گزشتہ روز ڈالر 277 روپے 84 پیسے پر بند ہوا تھا۔ آج انٹربینک میں ڈالرکا بھاؤ 5 پیسے بڑھا ہے۔,انٹر بینک تبادلہ میں ڈالر 5 پیسے مہنگا ہوا ہے۔ اسٹیٹ بینک آف پاکستان کے مطابق انٹر بینک تبادلہ میں کاروبار کے اختتام پر ڈالر کا بھاؤ 277 روپے 89 پیسے ہے۔ اسٹیٹ بینک میں گزشتہ روز ڈالر 277 روپے 84 پیسے پر بند ہوا تھا۔ آج انٹر بینک میں ڈالر کا بھاؤ 5 پیسے بڑھا ہے۔
123,40-60_3_02_base_18_Jameel Noori Nastaleeq_blur-1.75.jpg,40-60,3,2,18,Jameel Noori Nastaleeq,1.75,0,انٹربینک تبادلہ میں ڈالر 5 پیسے مہنگا ہوا ہے۔ اسٹیٹ بینک آف پاکستان کے مطابق انٹربینک تبادلہ میں کاروبار کے اختتام پر ڈالر کا بھاؤ 277  روپے 89 پیسے ہے۔ انٹربینک میں گزشتہ روز ڈالر 277 روپے 84 پیسے پر بند ہوا تھا۔ آج انٹربینک میں ڈالرکا بھاؤ 5 پیسے بڑھا ہے۔,انٹر بینک تبادلہ میں کاروبار کے اختتام پر ڈالر کا بھاؤ 277 روپے 89 پیسے ہے۔ اسٹیٹ بینک آف پاکستان کے مطابق انٹر بینک تبادلہ میں کاروبار کے اختتام پر ڈالر کا بھاؤ 277 روپے 84 پیسے بند ہوا جبکہ آج انٹر بینک میں ڈالر کا بھاؤ 5 پیسے مہنگا ہوا ہے۔
